DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2010-06-30,34.63,20.0,35.0,45,789.0,789.0,-933.0,-145.7
2022-03-04,34.65,10.96,35.0,45,840.0,840.0,-878.0000000000002,-39.70000000000023
