DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2021-05-25,19.29,8,19.0,45,2403.0,2403.0,-2494.0,-92.7
2021-11-22,19.59,30,20.0,45,2235.0,2235.0,-2460.0,-226.7
