DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2011-08-04,32.07,12,32.5,16,-885.0,765.0,496.0000000000001,-390.6999999999999
2022-09-23,32.31,26,32.5,16,-515.0,1135.0,400.0,-116.7
2022-09-26,32.88,23,32.5,16,-465.00000000000006,1185.0,400.0,-66.70000000000006
