DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2020-11-23,23.96,23,23.0,16,-189.0,511.0,348.99999999999983,158.29999999999984,-342.0,-418.5,-265.5,577.4999999999999,463.2499999999999,691.75
2020-12-30,23.15,21,24.0,16,-286.00000000000006,514.0,276.00000000000017,-11.699999999999886,,,,,,
2021-08-20,23.9,5,24.0,16,-488.00000000000006,311.99999999999994,753.9999999999999,264.29999999999984,-488.00000000000006,-488.00000000000006,-488.00000000000006,753.9999999999999,753.9999999999999,753.9999999999999
2021-09-29,23.79,21,23.0,16,-275.0,425.0,700.0,423.3,,,,,,
2022-01-18,23.2,1,23.0,16,-93.0,607.0,114.99999999999986,20.29999999999986,-93.0,-93.0,-93.0,114.99999999999986,114.99999999999986,114.99999999999986
2022-01-18,23.2,29,23.0,16,-305.0,395.0,307.0,0.3,-274.0,-289.5,-258.5,395.5,351.25,439.75
2022-01-19,23.99,14,23.0,16,-252.0,448.0,253.99999999999991,0.2999999999999148,-204.5,-228.25,-180.75,376.4999999999999,315.2499999999999,437.74999999999983
2022-01-19,23.99,28,23.0,16,-280.0,420.0,307.0,25.3,-280.0,-280.0,-280.0,307.0,307.0,307.0
2022-12-08,23.28,13,23.0,16,-191.0,509.0,305.9999999999999,113.29999999999988,,,,,,
2022-12-09,23.21,12,23.0,16,-148.0,552.0,305.9999999999999,156.2999999999999,-148.0,-148.0,-148.0,305.9999999999999,305.9999999999999,305.9999999999999
2023-01-04,23.27,14,23.0,16,-157.0,543.0,498.99999999999983,340.29999999999984,-204.5,-228.25,-180.75,376.4999999999999,315.2499999999999,437.74999999999983
2023-02-21,23.34,29,23.0,16,-243.00000000000003,457.0,484.0,239.3,-274.0,-289.5,-258.5,395.5,351.25,439.75
2023-03-09,23.14,13,23.0,16,-245.00000000000003,455.0,171.00000000000009,-75.69999999999995,,,,,,
2023-10-23,23.08,23,24.0,16,-495.0,305.0,806.0,309.3,-342.0,-418.5,-265.5,577.4999999999999,463.2499999999999,691.75
