DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2015-09-10,27.22,5,27.0,29,129.99999999999997,129.99999999999997,-200.0,-71.70000000000003,,,,,,
2016-02-03,27.7,13,27.0,29,150.99999999999997,150.99999999999997,8.000000000000114,157.3000000000001,150.99999999999997,150.99999999999997,150.99999999999997,8.000000000000114,8.000000000000114,8.000000000000114
2020-07-20,27.08,2,28.0,29,69.0,69.0,-48.00000000000006,19.299999999999944,,,,,,
2020-09-30,27.12,7,27.0,29,-21.000000000000004,-21.000000000000004,61.0000000000003,38.300000000000296,-21.000000000000004,-21.000000000000004,-21.000000000000004,61.0000000000003,61.0000000000003,61.0000000000003
2021-02-23,27.01,22,28.0,29,69.99999999999993,69.99999999999993,-100.0,-31.70000000000007,,,,,,
2022-05-17,27.17,1,27.0,29,165.0,165.0,-200.0,-36.69999999999997,,,,,,
2022-05-17,27.17,29,27.0,29,129.99999999999997,129.99999999999997,202.0000000000004,330.30000000000035,127.49999999999999,126.25,128.74999999999997,173.50000000000017,159.25000000000006,187.75000000000028
2022-05-27,27.54,5,27.0,29,127.0,127.0,-200.0,-74.7,,,,,,
2022-06-01,27.73,14,27.0,29,135.0,135.0,202.0000000000004,335.30000000000035,147.5,141.25,153.74999999999997,146.5000000000002,118.7500000000001,174.25000000000028
2022-07-12,27.75,1,27.0,29,134.0,134.0,-200.0,-67.7,,,,,,
2022-07-12,27.75,8,27.0,29,119.99999999999996,119.99999999999996,-200.0,-81.70000000000003,,,,,,
2022-08-30,27.69,1,27.0,29,152.0,152.0,-200.0,-49.7,,,,,,
2022-08-30,27.69,22,27.0,29,134.99999999999997,134.99999999999997,91.0,224.3,,,,,,
2022-09-01,27.45,20,27.0,29,140.0,140.0,91.0,229.3,141.5,140.75,142.25,26.499999999999854,-5.75000000000022,58.74999999999993
2022-09-07,27.15,14,27.0,29,159.99999999999997,159.99999999999997,91.0,249.3,147.5,141.25,153.74999999999997,146.5000000000002,118.7500000000001,174.25000000000028
2022-09-19,27.95,2,27.0,29,169.99999999999997,169.99999999999997,-200.0,-31.700000000000028,,,,,,
2022-09-19,27.95,30,27.0,29,135.0,135.0,144.99999999999994,278.29999999999995,135.0,135.0,135.0,144.99999999999994,144.99999999999994,144.99999999999994
2022-09-20,27.81,1,27.0,29,154.99999999999997,154.99999999999997,-200.0,-46.70000000000003,,,,,,
2022-09-20,27.81,29,27.0,29,125.0,125.0,144.99999999999994,268.29999999999995,127.49999999999999,126.25,128.74999999999997,173.50000000000017,159.25000000000006,187.75000000000028
2022-10-27,27.67,20,27.0,29,143.0,143.0,-38.00000000000029,103.29999999999971,141.5,140.75,142.25,26.499999999999854,-5.75000000000022,58.74999999999993
2022-10-28,27.59,19,27.0,29,148.0,148.0,-38.00000000000029,108.29999999999971,148.0,148.0,148.0,-38.00000000000029,-38.00000000000029,-38.00000000000029
