DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2011-07-13,20.16,6,21.0,29,719.9999999999999,719.9999999999999,-800.0,-81.70000000000012,,,,,,
2016-09-12,20.51,8,20.0,29,859.0,859.0,-891.0,-33.7,,,,,,
2022-01-05,20.17,14,20.0,29,735.0,735.0,-450.99999999999983,282.3000000000002,735.0,735.0,735.0,-450.99999999999983,-450.99999999999983,-450.99999999999983
2022-01-07,20.8,12,20.0,29,745.0,745.0,-450.99999999999983,292.3000000000002,745.0,745.0,745.0,-450.99999999999983,-450.99999999999983,-450.99999999999983
2022-08-11,20.85,6,20.0,29,725.0,725.0,-871.0000000000001,-147.7000000000001,,,,,,
2022-11-24,20.54,27,20.0,29,640.0,640.0,-800.9999999999998,-162.69999999999976,,,,,,
2023-02-01,20.04,28,20.0,29,726.0,726.0,-584.0,140.3,726.0,726.0,726.0,-584.0,-584.0,-584.0
2023-02-14,20.75,15,20.0,29,744.0,744.0,-689.0,53.3,744.0,744.0,744.0,-689.0,-689.0,-689.0
