DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2010-01-05,20.13,14.0,21.0,26,382.0,382.0,-453.00000000000017,-72.70000000000017
2011-01-28,20.08,18.0,21.0,26,440.5000000000001,440.5000000000001,-359.0,79.80000000000011
2014-02-05,20.72,13.0,21.0,26,420.0000000000001,420.0000000000001,-467.0,-48.69999999999989
2014-12-11,20.13,5.0,20.0,26,522.5,522.5,-416.99999999999983,103.80000000000017
2015-01-02,20.14,18.0,20.0,26,520.0000000000001,520.0000000000001,-286.00000000000034,232.29999999999978
2015-12-16,20.24,6.0,20.0,26,564.0,564.0,-552.9999999999998,9.300000000000228
2016-03-01,20.17,20.96,21.0,26,434.99999999999994,434.99999999999994,-496.0,-62.70000000000006
2016-03-01,20.17,27.96,21.0,26,405.0,405.0,-386.0,17.3
2016-06-17,20.03,11.0,20.0,26,508.0,508.0,-384.0,122.3
2016-11-01,20.43,1.0,21.0,26,500.5,500.5,-500.0,-1.2
2018-02-15,20.66,12.0,20.0,26,474.5000000000001,474.5000000000001,-599.9999999999999,-127.19999999999978
2018-10-16,20.56,1.0,21.0,26,489.99999999999994,489.99999999999994,-500.0,-11.700000000000056
2018-11-19,20.99,9.0,20.0,26,482.0,482.0,-600.0,-119.7
2018-11-19,20.99,29.0,21.0,26,415.5,415.5,270.0000000000001,683.8000000000001
2018-11-26,20.8,2.0,20.0,26,567.0,567.0,-600.0,-34.7
2018-11-29,20.48,19.0,20.0,26,515.5,515.5,170.0000000000001,683.8000000000001
2019-01-28,20.42,16.0,21.0,26,436.00000000000006,436.00000000000006,-494.9999999999999,-60.69999999999983
2019-08-16,20.5,12.0,20.0,26,470.5,470.5,-240.9999999999999,227.80000000000013
2021-03-16,20.31,8.0,20.0,26,477.50000000000006,477.50000000000006,-550.0,-74.19999999999995
2021-05-21,20.89,19.0,20.0,26,450.5,450.5,-560.0,-111.2
2021-05-24,20.51,2.0,20.0,26,566.5,566.5,-552.0,12.8
2021-05-24,20.51,9.0,20.0,26,489.00000000000006,489.00000000000006,-494.0000000000001,-6.700000000000057
2021-07-27,20.44,15.0,20.0,26,503.0,503.0,-600.0,-98.7
2021-07-27,20.44,29.0,20.0,26,461.99999999999994,461.99999999999994,-472.99999999999983,-12.699999999999886
2021-08-03,20.44,22.0,20.0,26,483.5,483.5,-472.99999999999983,8.800000000000171
2021-09-15,20.27,7.0,20.0,26,532.4999999999999,532.4999999999999,-289.9999999999999,240.8
2021-09-15,20.27,14.0,20.0,26,511.49999999999994,511.49999999999994,-217.99999999999994,291.8
2021-09-23,20.21,6.0,21.0,26,453.5,453.5,-117.99999999999994,333.80000000000007
2021-09-23,20.21,13.0,20.0,26,491.4999999999999,491.4999999999999,-264.00000000000006,225.79999999999984
2021-10-11,20.45,9.0,21.0,26,435.00000000000006,435.00000000000006,-499.9999999999999,-66.69999999999983
2021-10-12,20.81,8.0,21.0,26,450.0,450.0,-499.9999999999999,-51.69999999999989
2021-10-13,20.23,7.0,21.0,26,459.99999999999994,459.99999999999994,-499.9999999999999,-41.699999999999946
2022-01-05,20.17,14.0,20.0,26,490.00000000000006,490.00000000000006,-150.99999999999983,337.30000000000024
2022-01-05,20.17,21.0,20.0,26,476.49999999999994,476.49999999999994,264.00000000000006,738.8
2022-01-07,20.8,19.0,21.0,26,406.00000000000006,406.00000000000006,364.00000000000006,768.3000000000001
2022-01-11,21.0,15.0,20.0,26,521.0,521.0,264.00000000000006,783.3
2022-01-13,20.61,6.0,20.0,26,492.5,492.5,-319.99999999999994,170.80000000000007
2022-01-13,20.61,13.0,20.0,26,469.00000000000006,469.00000000000006,94.99999999999993,562.3
2022-03-30,20.51,7.0,20.0,26,482.5,482.5,-321.0000000000001,159.7999999999999
2022-03-30,20.51,14.0,20.0,26,459.0,459.0,-307.99999999999983,149.30000000000018
2022-03-30,20.51,21.0,20.0,26,437.5,437.5,-469.99999999999994,-34.199999999999946
