DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2010-03-10,18.6,5.96,19.0,25,544.4999999999999,544.4999999999999,-561.9999999999998,-19.199999999999886
2010-03-29,18.28,22.0,18.0,25,520.5,520.5,-650.0,-131.2
2011-01-07,18.07,11.0,19.0,25,512.5,512.5,-565.9999999999998,-55.199999999999775
2011-05-09,18.59,8.0,19.0,25,554.0,554.0,-432.0,120.3
2011-06-07,18.48,7.0,19.0,25,540.0,540.0,-546.0,-7.7
2011-06-09,18.31,5.0,19.0,25,555.0,555.0,-600.0,-46.7
2012-03-01,18.03,18.96,19.0,25,453.9999999999999,453.9999999999999,-512.0,-59.70000000000012
2012-03-05,18.9,14.96,18.0,25,503.5,503.5,-612.0,-110.2
2014-10-22,18.43,27.04,19.0,25,488.99999999999994,488.99999999999994,-525.0000000000001,-37.70000000000017
2014-12-10,18.92,6.0,19.0,25,530.0,530.0,-233.99999999999983,294.3000000000002
2016-06-29,18.27,6.0,18.0,25,607.0,607.0,-612.0,-6.7
2018-02-23,18.8,12.0,18.0,25,623.0,623.0,-476.9999999999999,144.30000000000013
2018-02-23,18.8,25.96,19.0,25,515.5,515.5,-122.0,391.8
2018-02-27,18.98,8.0,18.0,25,562.9999999999999,562.9999999999999,-513.0,48.29999999999988
2018-03-21,18.37,7.0,18.0,25,603.5,603.5,-328.9999999999999,272.8000000000001
2018-04-13,18.45,12.0,18.0,25,574.5,574.5,-382.0,190.8
2018-05-03,18.66,13.0,19.0,25,560.4999999999999,560.4999999999999,-370.0,188.7999999999999
2018-05-29,18.78,22.0,18.0,25,625.0,625.0,-597.0000000000001,26.299999999999887
2018-06-28,18.99,19.0,19.0,25,529.4999999999998,529.4999999999998,-576.9999999999999,-49.20000000000012
2018-10-08,18.38,9.0,18.0,25,644.4999999999999,644.4999999999999,-521.0,121.79999999999988
2018-11-09,18.41,12.0,19.0,25,532.4999999999999,532.4999999999999,-314.00000000000006,216.79999999999984
2019-01-25,18.46,11.0,18.0,25,600.0,600.0,-700.0,-101.7
2019-03-08,18.33,10.96,19.0,25,549.4999999999999,549.4999999999999,-550.0,-2.200000000000114
2019-05-06,18.8,16.0,18.0,25,649.5,649.5,-700.0,-52.2
2019-08-19,18.22,9.0,18.0,25,599.0,599.0,-340.9999999999999,256.3000000000001
2019-08-19,18.22,30.0,18.0,25,569.9999999999999,569.9999999999999,-671.0,-102.70000000000012
2019-09-27,18.69,5.0,18.0,25,627.0,627.0,-403.9999999999999,221.30000000000013
2019-09-27,18.69,12.0,18.0,25,585.0,585.0,-501.9999999999999,81.30000000000011
2020-01-28,18.03,1.0,18.0,25,689.5,689.5,-700.0,-12.2
2020-01-28,18.03,15.0,18.0,25,622.5,622.5,-700.0,-79.2
2020-01-28,18.03,22.0,18.0,25,610.5,610.5,-617.0,-8.2
2020-01-30,18.39,13.0,18.0,25,638.5000000000001,638.5000000000001,-700.0,-63.19999999999989
2020-01-30,18.39,20.0,18.0,25,626.0,626.0,-617.0,7.3
2020-02-03,18.88,9.0,18.0,25,596.9999999999999,596.9999999999999,-700.0,-104.70000000000012
2020-02-03,18.88,16.0,19.0,25,509.50000000000006,509.50000000000006,-517.0000000000001,-9.200000000000056
2020-02-21,18.21,25.96,19.0,25,519.5,519.5,0.0,517.8
2021-04-05,18.4,2.0,18.0,25,651.0,651.0,-700.0,-50.7
2021-04-07,18.17,7.0,18.0,25,616.0000000000001,616.0000000000001,-700.0,-85.69999999999989
2021-04-23,18.78,19.0,19.0,25,470.0,470.0,-101.00000000000017,367.29999999999984
2021-04-23,18.78,26.0,19.0,25,455.5,455.5,-79.00000000000028,374.7999999999997
2021-04-27,18.16,15.0,18.0,25,551.5,551.5,-201.00000000000017,348.79999999999984
2021-04-29,18.87,6.0,18.0,25,607.4999999999999,607.4999999999999,-675.0,-69.20000000000012
2021-04-29,18.87,13.0,18.0,25,559.5,559.5,-201.99999999999997,355.8
2021-05-26,18.92,7.0,18.0,25,588.0,588.0,-594.0000000000001,-7.700000000000114
2021-06-01,18.53,1.0,18.0,25,660.5,660.5,-700.0,-41.2
2021-06-10,18.29,6.0,19.0,25,574.5,574.5,-461.99999999999966,110.80000000000034
2021-07-09,18.13,12.0,19.0,25,540.5,540.5,-413.00000000000006,125.79999999999994
2021-07-15,18.09,6.0,19.0,25,562.9999999999999,562.9999999999999,-422.0000000000002,139.29999999999967
2021-07-22,18.45,27.0,18.0,25,525.0,525.0,-488.00000000000006,35.29999999999994
2021-08-04,18.9,7.0,18.0,25,573.0,573.0,-700.0,-128.7
2021-08-23,18.95,9.0,18.0,25,581.5,581.5,-700.0,-120.2
2021-08-27,18.22,12.0,18.0,25,592.0,592.0,-489.9999999999999,100.30000000000011
2021-09-07,18.39,22.0,19.0,25,470.9999999999999,470.9999999999999,-153.9999999999999,315.3
2021-10-14,18.08,13.0,18.0,25,600.5,600.5,-630.0000000000001,-31.200000000000113
2021-10-29,18.06,12.04,19.0,25,526.0,526.0,-351.00000000000017,173.29999999999984
2021-11-09,18.57,14.0,19.0,25,488.5,488.5,-300.0,186.8
2021-11-18,18.15,5.0,18.0,25,602.0,602.0,-519.9999999999999,80.30000000000011
2021-12-23,18.93,6.0,19.0,25,478.9999999999999,478.9999999999999,-600.0,-122.70000000000012
2021-12-31,18.27,5.0,18.0,25,611.5000000000001,611.5000000000001,-676.0000000000002,-66.20000000000012
2021-12-31,18.27,26.0,18.0,25,528.0,528.0,166.0,692.3
2022-01-03,18.54,2.0,18.0,25,700.9999999999999,700.9999999999999,-676.0000000000002,23.29999999999966
2022-01-03,18.54,16.0,18.0,25,587.5,587.5,-148.9999999999999,436.8000000000001
2022-01-12,18.69,7.0,18.0,25,602.5,602.5,-259.99999999999983,340.8000000000002
2023-01-27,19.0,5.0,18.0,25,580.5000000000001,580.5000000000001,-700.0,-121.19999999999989
2023-04-14,18.12,5.0,18.0,25,638.5000000000001,638.5000000000001,-700.0,-63.19999999999989
2023-04-24,18.24,2.0,18.0,25,680.5,680.5,-645.9999999999998,32.800000000000225
2023-04-27,18.43,6.0,18.0,25,651.0,651.0,-533.9999999999998,115.30000000000022
2023-04-27,18.43,20.0,18.0,25,551.5,551.5,-585.0,-35.2
2023-05-22,18.13,2.0,18.0,25,658.5,658.5,-550.0,106.8
2023-05-22,18.13,9.0,18.0,25,585.0,585.0,-685.9999999999999,-102.69999999999989
2023-05-22,18.13,16.0,18.0,25,569.0,569.0,-700.0,-132.7
2023-05-22,18.13,30.0,18.0,25,548.5,548.5,-700.0,-153.2
2023-05-30,18.34,22.0,18.0,25,567.0,567.0,-700.0,-134.7
2023-05-31,18.4,21.0,18.0,25,575.0,575.0,-700.0,-126.7
2023-08-08,18.14,1.0,18.0,25,691.0,691.0,-700.0,-10.7
2023-09-28,18.77,20.0,18.0,25,615.5000000000001,615.5000000000001,-456.00000000000006,157.80000000000007
2023-10-02,18.55,16.0,18.0,25,604.5,604.5,-456.00000000000006,146.79999999999995
2023-10-17,18.54,8.0,19.0,25,546.5,546.5,-501.9999999999999,42.80000000000011
2023-11-01,18.42,14.04,18.0,25,635.5,635.5,-694.0,-60.2
