DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2020-09-17,28.92,6,28.0,22,-220.00000000000003,380.0,280.9999999999999,59.299999999999855,,,,,,
2020-09-22,28.78,8,28.0,22,-218.00000000000003,382.0,310.0000000000001,90.30000000000008,-234.0,-242.0,-226.00000000000003,284.0,270.9999999999999,297.00000000000006
2021-09-20,28.79,2,28.0,22,-419.00000000000006,181.0,600.0,179.29999999999995,-419.00000000000006,-419.00000000000006,-419.00000000000006,600.0,600.0,600.0
2021-09-20,28.79,9,29.0,22,-572.0000000000001,127.99999999999989,1082.0,508.2999999999999,-572.0000000000001,-572.0000000000001,-572.0000000000001,1082.0,1082.0,1082.0
2021-11-26,28.99,5,28.0,22,-663.0,-63.0,628.9999999999999,-35.70000000000012,,,,,,
2021-11-30,28.56,22,28.0,22,-405.00000000000006,195.0,639.9999999999999,233.29999999999984,-405.00000000000006,-405.00000000000006,-405.00000000000006,639.9999999999999,639.9999999999999,639.9999999999999
2022-02-15,28.09,1,28.0,22,-275.0,325.0,412.0000000000001,135.30000000000013,-275.0,-275.0,-275.0,412.0000000000001,412.0000000000001,412.0000000000001
2022-02-15,28.09,28,28.0,22,-415.00000000000006,185.0,412.0000000000001,-4.699999999999943,,,,,,
2022-02-17,28.37,6,29.0,22,-290.0,410.0,262.0000000000001,-29.69999999999989,,,,,,
2022-02-17,28.37,26,28.0,22,-355.0,245.0,162.0000000000001,-194.69999999999987,,,,,,
2022-04-22,28.27,26,28.0,22,-320.0,280.0,305.9999999999999,-15.700000000000111,,,,,,
2022-05-26,28.46,20,28.0,22,-240.0,360.0,426.00000000000017,184.30000000000013,-240.0,-240.0,-240.0,426.00000000000017,426.00000000000017,426.00000000000017
2022-09-13,28.15,8,28.0,22,-250.0,350.0,257.99999999999983,6.299999999999829,-234.0,-242.0,-226.00000000000003,284.0,270.9999999999999,297.00000000000006
2022-09-16,28.45,5,28.0,22,-235.0,365.0,245.0,8.299999999999944,,,,,,
2022-09-22,28.38,6,28.0,22,-131.0,469.0,42.00000000000017,-90.69999999999985,,,,,,
2022-09-22,28.38,27,28.0,22,-240.0,360.0,42.00000000000017,-199.69999999999985,,,,,,
2022-10-26,28.52,21,28.0,22,-228.0,372.0,562.9999999999999,333.2999999999999,-228.0,-228.0,-228.0,562.9999999999999,562.9999999999999,562.9999999999999
