DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2016-01-07,25.86,12,25.0,23,-150.0,50.0,355.9999999999999,204.2999999999999,-127.5,-160.5,-85.99999999999999,313.75,228.74999999999994,394.49999999999994
2018-02-14,25.72,7,25.0,23,-240.00000000000003,-40.00000000000003,200.0,-41.70000000000003,-179.33333333333334,-206.50000000000003,-149.0,216.0,200.0,224.0
2018-03-01,25.3,20,25.0,23,-181.0,19.00000000000003,678.0,495.3,-181.0,-181.0,-181.0,678.0,678.0,678.0
2018-12-06,25.94,12,25.0,23,-192.0,8.000000000000057,510.0000000000001,316.3000000000002,-127.5,-160.5,-85.99999999999999,313.75,228.74999999999994,394.49999999999994
2020-10-12,25.65,2,25.0,23,-37.0,163.0,0.0,-38.7,-111.66666666666667,-135.25,-62.25,160.00000000000003,170.0000000000001,200.0
2020-11-09,25.82,2,25.0,23,-114.0,86.00000000000001,200.0,84.30000000000001,-111.66666666666667,-135.25,-62.25,160.00000000000003,170.0000000000001,200.0
2020-12-22,25.56,1,25.0,23,-135.0,65.0,200.0,63.3,-106.4,-135.0,-62.0,191.60000000000005,198.00000000000009,200.0
2021-01-12,25.15,1,25.0,23,-171.0,29.0,200.0,27.3,-106.4,-135.0,-62.0,191.60000000000005,198.00000000000009,200.0
2021-02-03,25.43,7,25.0,23,-125.0,75.0,200.0,73.3,-179.33333333333334,-206.50000000000003,-149.0,216.0,200.0,224.0
2021-02-24,25.04,14,26.0,23,-286.00000000000006,13.999999999999943,386.0,98.29999999999988,-286.00000000000006,-286.00000000000006,-286.00000000000006,386.0,386.0,386.0
2021-05-19,25.96,7,25.0,23,-173.00000000000003,26.99999999999997,248.0,73.29999999999997,-179.33333333333334,-206.50000000000003,-149.0,216.0,200.0,224.0
2021-09-21,25.6,1,25.0,23,-135.0,65.0,200.0,63.3,-106.4,-135.0,-62.0,191.60000000000005,198.00000000000009,200.0
2021-09-21,25.6,8,26.0,23,-269.00000000000006,30.999999999999943,682.0,411.3,-191.75000000000003,-225.50000000000003,-155.25,320.5,200.0,320.5
2021-11-29,25.69,2,25.0,23,-205.0,-4.999999999999972,200.0,-6.699999999999972,-111.66666666666667,-135.25,-62.25,160.00000000000003,170.0000000000001,200.0
2022-01-20,25.89,27,25.0,23,-144.99999999999997,55.00000000000003,507.0,360.3,-144.99999999999997,-144.99999999999997,-144.99999999999997,507.0,507.0,507.0
2022-02-01,25.33,8,25.0,23,-211.00000000000003,-11.000000000000028,200.0,-12.700000000000028,-191.75000000000003,-225.50000000000003,-155.25,320.5,200.0,320.5
2022-02-01,25.33,15,25.0,23,-159.99999999999997,40.00000000000003,507.0,345.3,-159.99999999999997,-159.99999999999997,-159.99999999999997,507.0,507.0,507.0
2022-02-03,25.81,13,25.0,23,-124.99999999999996,75.00000000000003,507.0,380.3,-124.99999999999997,-124.99999999999999,-124.99999999999997,371.5,303.75,439.25
2022-03-21,25.36,2,25.0,23,-133.0,67.0,200.0,65.3,-111.66666666666667,-135.25,-62.25,160.00000000000003,170.0000000000001,200.0
2022-03-21,25.36,30,25.0,23,-130.0,70.0,330.0000000000001,198.30000000000013,-110.0,-120.0,-100.00000000000001,279.5,254.24999999999994,304.75000000000006
2022-04-12,25.38,8,25.0,23,-120.0,80.0,200.0,78.3,-191.75000000000003,-225.50000000000003,-155.25,320.5,200.0,320.5
2022-06-03,25.96,12,25.0,23,-80.0,120.0,126.00000000000016,44.30000000000015,-127.5,-160.5,-85.99999999999999,313.75,228.74999999999994,394.49999999999994
2022-06-06,25.81,9,25.0,23,-90.00000000000001,110.0,126.00000000000016,34.30000000000014,-138.33333333333334,-162.5,-90.5,229.66666666666666,194.50000000000003,281.49999999999994
2022-07-18,25.91,2,25.0,23,-45.0,155.0,160.00000000000014,113.30000000000014,-111.66666666666667,-135.25,-62.25,160.00000000000003,170.0000000000001,200.0
2022-07-18,25.91,30,25.0,23,-90.00000000000001,110.0,228.9999999999999,137.2999999999999,-110.0,-120.0,-100.00000000000001,279.5,254.24999999999994,304.75000000000006
2022-07-19,25.41,1,25.0,23,-62.0,138.0,160.00000000000014,96.30000000000014,-106.4,-135.0,-62.0,191.60000000000005,198.00000000000009,200.0
2022-07-19,25.41,29,25.0,23,-90.00000000000001,110.0,228.9999999999999,137.2999999999999,-90.00000000000001,-90.00000000000001,-90.00000000000001,228.9999999999999,228.9999999999999,228.9999999999999
2022-07-26,25.31,1,25.0,23,-29.0,171.0,198.00000000000009,167.30000000000007,-106.4,-135.0,-62.0,191.60000000000005,198.00000000000009,200.0
2022-07-26,25.31,22,26.0,23,-170.0,130.0,328.9999999999999,157.2999999999999,-170.0,-170.0,-170.0,328.9999999999999,328.9999999999999,328.9999999999999
2022-08-26,25.9,5,25.0,23,-60.0,140.0,0.0,-61.7,,,,,,
2022-08-26,25.9,26,25.0,23,-105.0,95.0,236.0,129.29999999999995,-123.99999999999999,-133.49999999999997,-114.5,218.0,209.0,227.0
2022-09-08,25.9,13,25.0,23,-125.0,75.0,236.0,109.29999999999994,-124.99999999999997,-124.99999999999999,-124.99999999999997,371.5,303.75,439.25
2022-11-04,25.71,12,25.0,23,-87.99999999999999,112.0,262.9999999999999,173.2999999999999,-127.5,-160.5,-85.99999999999999,313.75,228.74999999999994,394.49999999999994
2022-11-07,25.67,9,25.0,23,-91.0,109.0,262.9999999999999,170.2999999999999,-138.33333333333334,-162.5,-90.5,229.66666666666666,194.50000000000003,281.49999999999994
2022-11-07,25.67,16,25.0,23,-109.0,91.0,200.0,89.30000000000001,-109.0,-109.0,-109.0,200.0,200.0,200.0
2022-12-12,25.05,2,25.0,23,-136.0,64.0,200.00000000000003,62.300000000000026,-111.66666666666667,-135.25,-62.25,160.00000000000003,170.0000000000001,200.0
2022-12-12,25.05,9,26.0,23,-234.0,66.0,300.0,64.3,-138.33333333333334,-162.5,-90.5,229.66666666666666,194.50000000000003,281.49999999999994
2022-12-13,25.84,8,25.0,23,-167.0,33.0,200.0,31.3,-191.75000000000003,-225.50000000000003,-155.25,320.5,200.0,320.5
2023-03-24,25.21,26,25.0,23,-142.99999999999997,57.00000000000003,200.0,55.300000000000026,-123.99999999999999,-133.49999999999997,-114.5,218.0,209.0,227.0
