DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2015-08-21,28.38,25,29.0,23,-518.0,82.0,661.9999999999998,142.29999999999978,-518.0,-518.0,-518.0,661.9999999999998,661.9999999999998,661.9999999999998
2020-09-22,28.78,29,29.0,23,-210.0,390.0,496.9999999999999,285.2999999999999,-210.0,-210.0,-210.0,496.9999999999999,496.9999999999999,496.9999999999999
2021-02-02,28.08,8,29.0,23,-354.0,246.0,600.0,244.3,-299.5,-326.75,-272.25,428.9999999999999,343.4999999999999,514.5
2021-09-20,28.79,2,28.0,23,-394.00000000000006,105.99999999999994,500.0,104.29999999999994,-394.00000000000006,-394.00000000000006,-394.00000000000006,500.0,500.0,500.0
2021-09-20,28.79,9,29.0,23,-516.0,84.0,982.0,464.3,-516.0,-516.0,-516.0,982.0,982.0,982.0
2021-11-26,28.99,5,28.0,23,-627.9999999999999,-127.99999999999989,566.9999999999998,-62.70000000000012,,,,,,
2022-02-15,28.09,1,28.0,23,-275.0,225.0,412.0000000000001,135.30000000000013,-275.0,-275.0,-275.0,412.0000000000001,412.0000000000001,412.0000000000001
2022-02-15,28.09,28,28.0,23,-360.0,140.0,412.0000000000001,50.30000000000011,-360.0,-360.0,-360.0,412.0000000000001,412.0000000000001,412.0000000000001
2022-02-17,28.37,6,29.0,23,-280.0,320.0,262.0000000000001,-19.69999999999989,,,,,,
2022-02-17,28.37,26,28.0,23,-315.00000000000006,185.0,162.0000000000001,-154.69999999999993,,,,,,
2022-04-22,28.27,26,28.0,23,-284.99999999999994,215.00000000000009,305.9999999999999,19.299999999999944,,,,,,
2022-07-06,28.07,14,28.0,23,-225.0,275.0,460.0000000000001,233.30000000000013,-225.0,-225.0,-225.0,460.0000000000001,460.0000000000001,460.0000000000001
2022-07-14,28.45,6,28.0,23,-195.0,305.0,460.0000000000001,263.3000000000001,,,,,,
2022-09-13,28.15,8,28.0,23,-245.0,255.00000000000003,257.99999999999983,11.29999999999986,-299.5,-326.75,-272.25,428.9999999999999,343.4999999999999,514.5
2022-09-16,28.45,5,28.0,23,-235.0,265.0,245.0,8.299999999999944,,,,,,
2022-09-22,28.38,27,28.0,23,-225.0,275.0,42.00000000000017,-184.69999999999985,,,,,,
2022-10-26,28.52,21,28.0,23,-220.0,280.0,562.9999999999999,341.2999999999999,-220.0,-220.0,-220.0,562.9999999999999,562.9999999999999,562.9999999999999
