DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2010-12-27,18.32,22,19.0,21,104.0,104.0,-165.99999999999983,-63.69999999999985,168.0,122.75,209.25,-61.25000000000003,-173.7499999999999,-28.000000000000043
2011-01-07,18.07,11,19.0,21,140.0,140.0,-165.99999999999983,-27.69999999999983,,,,,,
2011-06-01,18.48,13,19.0,21,156.0,156.0,-132.00000000000006,22.299999999999944,160.49999999999997,158.25,162.74999999999994,-50.99999999999997,-91.50000000000001,-10.499999999999922
2011-06-07,18.48,7,19.0,21,154.99999999999997,154.99999999999997,-146.0000000000001,7.299999999999858,202.0,189.5,225.50000000000003,-91.49999999999997,-177.00000000000006,10.000000000000082
2012-02-28,18.67,21,19.0,21,101.0,101.0,-112.00000000000011,-12.700000000000111,,,,,,
2013-10-03,18.71,12,19.0,21,159.0,159.0,-130.0000000000001,27.299999999999887,159.5,159.25,159.75,-71.50000000000009,-100.7500000000001,-42.25000000000007
2014-10-22,18.43,27,19.0,21,143.99999999999994,143.99999999999994,-125.0,17.299999999999944,143.99999999999994,143.99999999999994,143.99999999999994,-125.0,-125.0,-125.0
2014-12-10,18.92,6,19.0,21,155.99999999999997,155.99999999999997,166.0000000000002,320.3000000000002,,,,,,
2015-07-06,18.95,15,19.0,21,140.99999999999997,140.99999999999997,-150.0,-10.700000000000028,,,,,,
2015-11-12,18.5,5,19.0,21,145.0,145.0,-200.0,-56.7,,,,,,
2016-06-20,18.55,1,19.0,21,144.99999999999997,144.99999999999997,-200.0,-56.70000000000003,,,,,,
2016-06-29,18.27,6,18.0,21,170.0,170.0,-212.0,-43.699999999999946,,,,,,
2018-02-23,18.8,26,19.0,21,148.99999999999997,148.99999999999997,278.0,425.3,148.99999999999997,148.99999999999997,148.99999999999997,278.0,278.0,278.0
2018-04-26,18.12,20,19.0,21,159.0,159.0,30.00000000000012,187.30000000000013,196.33333333333334,175.5,215.0,-70.33333333333331,-120.50000000000003,-12.999999999999964
2018-05-03,18.66,13,19.0,21,164.99999999999994,164.99999999999994,30.00000000000012,193.30000000000007,160.49999999999997,158.25,162.74999999999994,-50.99999999999997,-91.50000000000001,-10.499999999999922
2018-05-29,18.78,22,18.0,21,240.0,240.0,-197.0000000000001,41.29999999999983,168.0,122.75,209.25,-61.25000000000003,-173.7499999999999,-28.000000000000043
2018-07-02,18.08,15,18.0,21,240.00000000000003,240.00000000000003,-276.9999999999999,-38.69999999999986,,,,,,
2019-08-19,18.22,30,18.0,21,206.00000000000009,206.00000000000009,-270.9999999999999,-66.69999999999983,,,,,,
2019-09-27,18.69,19,18.0,21,204.0,204.0,-279.00000000000006,-76.70000000000006,,,,,,
2019-10-07,18.52,9,19.0,21,142.99999999999997,142.99999999999997,-179.0,-37.70000000000003,,,,,,
2020-02-03,18.88,16,19.0,21,144.99999999999997,144.99999999999997,-117.0,26.29999999999997,182.5,163.75,201.25,24.5,-46.25,95.25
2021-04-06,18.3,1,18.0,21,238.0,238.0,-300.0,-63.7,,,,,,
2021-04-27,18.16,22,19.0,21,129.0,129.0,232.99999999999983,360.29999999999984,168.0,122.75,209.25,-61.25000000000003,-173.7499999999999,-28.000000000000043
2021-05-07,18.57,5,18.0,21,244.00000000000003,244.00000000000003,92.99999999999996,335.3,,,,,,
2021-06-10,18.29,6,19.0,21,175.0,175.0,-61.99999999999972,111.30000000000028,,,,,,
2021-06-22,18.32,22,18.0,21,199.0,199.0,-115.0,82.3,168.0,122.75,209.25,-61.25000000000003,-173.7499999999999,-28.000000000000043
2021-07-09,18.13,12,19.0,21,160.0,160.0,-13.000000000000057,145.29999999999995,159.5,159.25,159.75,-71.50000000000009,-100.7500000000001,-42.25000000000007
2021-07-22,18.45,6,18.0,21,176.99999999999997,176.99999999999997,-180.9999999999999,-5.699999999999915,,,,,,
2021-08-23,18.95,2,19.0,21,156.0,156.0,-200.0,-45.69999999999997,,,,,,
2021-09-07,18.39,15,18.0,21,178.0,178.0,76.00000000000016,252.30000000000013,,,,,,
2021-12-28,18.47,8,18.0,21,181.0,181.0,-276.00000000000017,-96.70000000000016,,,,,,
2022-01-03,18.54,16,18.0,21,220.00000000000003,220.00000000000003,166.0,384.3,182.5,163.75,201.25,24.5,-46.25,95.25
2022-01-12,18.69,7,18.0,21,225.0,225.0,55.00000000000007,278.30000000000007,202.0,189.5,225.50000000000003,-91.49999999999997,-177.00000000000006,10.000000000000082
2023-01-27,19.0,19,18.0,21,190.0,190.0,-195.0,-6.699999999999943,,,,,,
2023-04-14,18.12,5,18.0,21,236.0,236.0,-300.0,-65.7,,,,,,
2023-04-24,18.24,2,18.0,21,266.0,266.0,-245.9999999999997,18.300000000000285,,,,,,
2023-04-24,18.24,23,18.0,21,204.0,204.0,-185.0,17.300000000000058,204.0,204.0,204.0,-185.0,-185.0,-185.0
2023-04-27,18.43,20,18.0,21,192.0,192.0,-185.0,5.300000000000057,196.33333333333334,175.5,215.0,-70.33333333333331,-120.50000000000003,-12.999999999999964
2023-05-10,18.31,7,18.0,21,201.0,201.0,-269.9999999999999,-70.69999999999992,202.0,189.5,225.50000000000003,-91.49999999999997,-177.00000000000006,10.000000000000082
2023-05-16,18.3,1,18.0,21,243.00000000000003,243.00000000000003,-300.0,-58.69999999999997,,,,,,
2023-05-17,18.26,7,18.0,21,227.00000000000009,227.00000000000009,-4.999999999999915,220.30000000000013,202.0,189.5,225.50000000000003,-91.49999999999997,-177.00000000000006,10.000000000000082
2023-05-22,18.13,30,18.0,21,203.0,203.0,-299.99999999999994,-98.69999999999996,,,,,,
2023-09-28,18.77,20,18.0,21,238.0,238.0,-56.00000000000006,180.29999999999995,196.33333333333334,175.5,215.0,-70.33333333333331,-120.50000000000003,-12.999999999999964
2023-11-01,18.42,14,18.0,21,242.0,242.0,-293.9999999999999,-53.69999999999989,,,,,,
