DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2010-09-23,24.06,26,24.0,21,-105.0,195.0,443.0,336.29999999999995,-105.0,-105.0,-105.0,443.0,443.0,443.0
2016-01-22,24.55,4,24.0,21,-195.0,105.0,167.00000000000017,-29.69999999999983,,,,,,
2018-03-26,24.54,23,25.0,21,-350.00000000000006,49.99999999999994,437.9999999999999,86.29999999999983,-350.00000000000006,-350.00000000000006,-350.00000000000006,437.9999999999999,437.9999999999999,437.9999999999999
2018-03-28,24.94,7,25.0,21,-350.0,50.0,425.99999999999983,74.29999999999983,-185.57142857142858,-227.5,-116.0,290.42857142857133,289.49999999999994,352.5
2018-10-23,24.66,29,24.0,21,-259.99999999999994,40.00000000000006,702.0,440.30000000000007,-190.25,-223.25,-152.5,416.25,283.2499999999999,498.0000000000001
2019-01-04,24.48,4,24.0,21,-249.00000000000003,50.99999999999997,300.0,49.29999999999997,,,,,,
2020-08-04,24.76,8,24.0,21,-120.0,180.0,371.9999999999999,250.2999999999999,-190.83333333333334,-215.25,-187.0,331.99999999999994,308.24999999999994,363.74999999999983
2020-08-06,24.11,13,24.0,21,-121.0,179.0,370.9999999999997,248.29999999999973,-107.0,-114.0,-100.0,346.4999999999998,334.24999999999983,358.7499999999998
2020-08-11,24.93,1,24.0,21,-77.0,223.0,246.00000000000009,167.3000000000001,-110.75,-138.75,-65.0,202.25,133.74999999999994,259.50000000000006
2020-11-16,24.08,8,24.0,21,-196.0,104.0,300.0,102.3,-190.83333333333334,-215.25,-187.0,331.99999999999994,308.24999999999994,363.74999999999983
2020-12-15,24.07,8,24.0,21,-184.0,116.0,248.00000000000009,62.30000000000005,-190.83333333333334,-215.25,-187.0,331.99999999999994,308.24999999999994,363.74999999999983
2021-01-11,24.81,2,24.0,21,-94.0,206.0,207.99999999999983,112.29999999999984,-94.0,-108.0,-72.5,224.49999999999991,187.74999999999986,272.2499999999999
2021-08-19,24.74,27,24.0,21,-223.0,77.00000000000006,533.0000000000002,308.3000000000003,-177.0,-198.5,-154.0,401.00000000000006,335.0,451.5000000000001
2021-09-28,24.82,8,24.0,21,-218.0,82.00000000000003,338.9999999999997,119.29999999999974,-190.83333333333334,-215.25,-187.0,331.99999999999994,308.24999999999994,363.74999999999983
2021-10-01,24.89,5,24.0,21,-241.0,59.0,336.9999999999997,94.29999999999971,-241.0,-241.0,-241.0,336.9999999999997,336.9999999999997,336.9999999999997
2021-10-06,24.4,7,24.0,21,-256.0,44.0,333.0000000000001,75.30000000000011,-185.57142857142858,-227.5,-116.0,290.42857142857133,289.49999999999994,352.5
2021-12-07,24.69,8,24.0,21,-220.0,80.00000000000003,332.99999999999983,111.29999999999986,-190.83333333333334,-215.25,-187.0,331.99999999999994,308.24999999999994,363.74999999999983
2022-02-07,24.82,9,24.0,21,-179.99999999999997,120.00000000000004,407.0,225.30000000000004,-136.0,-150.0,-118.5,246.74999999999994,186.49999999999983,326.75
2022-02-10,24.77,6,24.0,21,-150.0,150.0,67.00000000000017,-84.69999999999983,,,,,,
2022-03-22,24.02,1,24.0,21,-109.0,191.0,135.99999999999994,25.29999999999993,-110.75,-138.75,-65.0,202.25,133.74999999999994,259.50000000000006
2022-03-22,24.02,29,24.0,21,-160.0,140.0,430.0000000000001,268.3000000000001,-190.25,-223.25,-152.5,416.25,283.2499999999999,498.0000000000001
2022-03-23,24.03,7,24.0,21,-134.0,166.0,304.99999999999966,169.29999999999967,-185.57142857142858,-227.5,-116.0,290.42857142857133,289.49999999999994,352.5
2022-03-23,24.03,28,25.0,21,-230.00000000000003,169.99999999999997,530.0000000000001,298.3000000000001,-181.66666666666666,-225.0,-157.5,397.33333333333326,330.9999999999999,431.5
2022-04-06,24.78,7,24.0,21,-199.0,101.0,371.9999999999999,171.2999999999999,-185.57142857142858,-227.5,-116.0,290.42857142857133,289.49999999999994,352.5
2022-04-06,24.78,14,24.0,21,-185.0,115.0,300.0,113.3,-185.0,-185.0,-185.0,300.0,300.0,300.0
2022-04-11,24.42,2,24.0,21,-79.0,221.0,262.9999999999999,182.2999999999999,-94.0,-108.0,-72.5,224.49999999999991,187.74999999999986,272.2499999999999
2022-04-11,24.42,9,24.0,21,-140.0,160.0,300.0,158.3,-136.0,-150.0,-118.5,246.74999999999994,186.49999999999983,326.75
