DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2010-12-20,16.86,29,16.0,17,22.0,22.0,-65.99999999999983,-45.69999999999983,,,,,,
2011-02-08,16.6,7,17.0,17,-9.999999999999998,-9.999999999999998,104.9999999999999,93.2999999999999,16.083333333333332,-10.250000000000004,45.25000000000001,68.24999999999999,25.249999999999996,110.49999999999991
2012-11-30,16.17,18,17.0,17,-4.000000000000004,-4.000000000000004,5.000000000000085,-0.6999999999999182,-6.666666666666665,-7.9999999999999964,-4.999999999999994,59.3333333333334,14.000000000000103,86.50000000000006
2013-05-31,16.35,18,17.0,17,-5.999999999999983,-5.999999999999983,150.0,142.30000000000004,-6.666666666666665,-7.9999999999999964,-4.999999999999994,59.3333333333334,14.000000000000103,86.50000000000006
2013-10-01,16.46,14,17.0,17,-4.000000000000004,-4.000000000000004,69.99999999999993,64.29999999999993,7.99999999999999,-10.50000000000001,22.999999999999996,45.57142857142856,22.499999999999964,76.5
2013-12-12,16.09,5,17.0,17,-9.999999999999986,-9.999999999999986,75.0,63.30000000000001,,,,,,
2014-12-09,16.68,7,17.0,17,-10.000000000000009,-10.000000000000009,159.99999999999997,148.29999999999998,16.083333333333332,-10.250000000000004,45.25000000000001,68.24999999999999,25.249999999999996,110.49999999999991
2015-07-27,16.27,22,17.0,17,-9.999999999999964,-9.999999999999964,228.9999999999999,217.29999999999995,-14.999999999999984,-17.499999999999993,-9.999999999999975,225.33333333333334,124.5,327.99999999999994
2015-10-21,16.7,6,16.0,17,44.99999999999999,44.99999999999999,53.99999999999994,97.29999999999994,23.285714285714285,-1.0,50.5,6.142857142857141,-15.000000000000036,28.50000000000003
2015-10-21,16.7,13,16.0,17,39.0,39.0,1.0,38.3,5.555555555555554,-15.000000000000002,39.0,21.44444444444445,1.0,62.0000000000001
2015-11-05,16.39,5,17.0,17,-24.00000000000002,-24.00000000000002,92.00000000000004,66.3,,,,,,
2015-12-01,16.34,7,16.0,17,53.99999999999998,53.99999999999998,83.00000000000001,135.3,16.083333333333332,-10.250000000000004,45.25000000000001,68.24999999999999,25.249999999999996,110.49999999999991
2015-12-23,16.25,13,16.0,17,25.0,25.0,155.00000000000006,178.30000000000007,5.555555555555554,-15.000000000000002,39.0,21.44444444444445,1.0,62.0000000000001
2015-12-29,16.48,7,17.0,17,-26.0,-26.0,50.0,22.3,16.083333333333332,-10.250000000000004,45.25000000000001,68.24999999999999,25.249999999999996,110.49999999999991
2016-03-16,16.33,6,17.0,17,-21.0,-21.0,0.0,-22.7,23.285714285714285,-1.0,50.5,6.142857142857141,-15.000000000000036,28.50000000000003
2016-03-16,16.33,13,16.0,17,40.0,40.0,-96.00000000000011,-57.70000000000012,5.555555555555554,-15.000000000000002,39.0,21.44444444444445,1.0,62.0000000000001
2016-03-16,16.33,27,17.0,17,-26.0,-26.0,184.0,156.3,-26.0,-26.0,-26.0,184.0,184.0,184.0
2016-04-12,16.57,21,17.0,17,-35.00000000000001,-35.00000000000001,241.0,204.3,-16.33333333333334,-22.500000000000007,-7.000000000000007,167.33333333333334,130.5,209.49999999999994
2016-05-17,16.12,7,16.0,17,30.000000000000004,30.000000000000004,-100.0,-71.7,16.083333333333332,-10.250000000000004,45.25000000000001,68.24999999999999,25.249999999999996,110.49999999999991
2016-05-20,16.3,4,16.0,17,55.00000000000001,55.00000000000001,-100.0,-46.7,,,,,,
2016-05-23,16.47,1,17.0,17,-26.0,-26.0,0.0,-27.7,,,,,,
2016-05-23,16.47,8,17.0,17,-24.0,-24.0,41.00000000000006,15.300000000000058,1.6666666666666667,-21.75,29.000000000000004,77.99999999999997,-12.250000000000039,176.7499999999999
2016-10-11,16.47,1,17.0,17,-27.0,-27.0,0.0,-28.7,,,,,,
2016-10-11,16.47,14,16.0,17,50.0,50.0,-100.0,-51.7,7.99999999999999,-10.50000000000001,22.999999999999996,45.57142857142856,22.499999999999964,76.5
2016-10-11,16.47,22,17.0,17,-25.0,-25.0,427.0,400.3,-14.999999999999984,-17.499999999999993,-9.999999999999975,225.33333333333334,124.5,327.99999999999994
2016-10-14,16.5,11,17.0,17,-10.000000000000009,-10.000000000000009,0.0,-11.700000000000008,,,,,,
2017-04-17,16.28,30,17.0,17,-9.00000000000003,-9.00000000000003,196.9999999999999,186.29999999999987,-9.00000000000003,-9.00000000000003,-9.00000000000003,196.9999999999999,196.9999999999999,196.9999999999999
2017-08-10,16.17,5,17.0,17,-20.000000000000018,-20.000000000000018,0.0,-21.700000000000017,,,,,,
2018-02-26,16.94,1,17.0,17,-84.99999999999999,-84.99999999999999,0.0,-86.69999999999999,,,,,,
2018-02-26,16.94,16,17.0,17,-56.00000000000001,-56.00000000000001,171.9999999999999,114.29999999999988,5.666666666666662,-11.0,36.5,81.99999999999997,37.000000000000014,138.99999999999997
2018-03-09,16.75,5,16.0,17,45.000000000000014,45.000000000000014,-100.0,-56.69999999999999,,,,,,
2018-03-12,16.35,2,16.0,17,0.0,0.0,-100.0,-101.7,,,,,,
2018-03-12,16.35,16,16.0,17,38.99999999999999,38.99999999999999,106.00000000000006,143.30000000000007,5.666666666666662,-11.0,36.5,81.99999999999997,37.000000000000014,138.99999999999997
2018-03-13,16.98,1,16.0,17,20.0,20.0,-100.0,-81.7,,,,,,
2018-04-17,16.27,8,17.0,17,-39.99999999999999,-39.99999999999999,205.00000000000009,163.30000000000007,1.6666666666666667,-21.75,29.000000000000004,77.99999999999997,-12.250000000000039,176.7499999999999
2018-04-18,16.9,7,16.0,17,46.0,46.0,83.99999999999999,128.3,16.083333333333332,-10.250000000000004,45.25000000000001,68.24999999999999,25.249999999999996,110.49999999999991
2018-04-30,16.35,2,16.0,17,35.00000000000001,35.00000000000001,-100.0,-66.7,,,,,,
2018-05-01,16.82,1,16.0,17,-5.000000000000004,-5.000000000000004,-100.0,-106.7,,,,,,
2018-05-30,16.64,6,16.0,17,19.0,19.0,-100.0,-82.7,23.285714285714285,-1.0,50.5,6.142857142857141,-15.000000000000036,28.50000000000003
2018-05-30,16.64,13,17.0,17,-58.99999999999999,-58.99999999999999,65.99999999999994,5.299999999999957,5.555555555555554,-15.000000000000002,39.0,21.44444444444445,1.0,62.0000000000001
2018-06-29,16.51,4,16.0,17,-9.999999999999998,-9.999999999999998,-100.0,-111.7,,,,,,
2018-06-29,16.51,12,17.0,17,-105.0,-105.0,116.0,9.3,-2.8749999999999996,-9.999999999999991,20.75,35.375000000000036,-30.75000000000001,91.25000000000004
2018-06-29,16.51,18,17.0,17,-10.000000000000009,-10.000000000000009,23.00000000000012,11.300000000000106,-6.666666666666665,-7.9999999999999964,-4.999999999999994,59.3333333333334,14.000000000000103,86.50000000000006
2018-07-03,16.45,14,17.0,17,-9.00000000000003,-9.00000000000003,23.00000000000012,12.300000000000084,7.99999999999999,-10.50000000000001,22.999999999999996,45.57142857142856,22.499999999999964,76.5
2018-07-05,16.22,6,17.0,17,-33.999999999999986,-33.999999999999986,116.0,80.30000000000001,23.285714285714285,-1.0,50.5,6.142857142857141,-15.000000000000036,28.50000000000003
2018-07-05,16.22,12,17.0,17,-10.000000000000009,-10.000000000000009,23.00000000000012,11.300000000000106,-2.8749999999999996,-9.999999999999991,20.75,35.375000000000036,-30.75000000000001,91.25000000000004
2018-08-15,16.86,13,17.0,17,-55.00000000000003,-55.00000000000003,21.999999999999886,-34.700000000000145,5.555555555555554,-15.000000000000002,39.0,21.44444444444445,1.0,62.0000000000001
2019-02-01,16.83,4,17.0,17,-9.999999999999998,-9.999999999999998,0.0,-11.699999999999998,,,,,,
2019-02-04,16.73,1,16.0,17,55.00000000000001,55.00000000000001,-100.0,-46.7,,,,,,
2019-02-15,16.82,5,16.0,17,4.000000000000004,4.000000000000004,-100.00000000000004,-97.70000000000005,,,,,,
2019-02-15,16.82,12,16.0,17,23.0,23.0,26.0,47.3,-2.8749999999999996,-9.999999999999991,20.75,35.375000000000036,-30.75000000000001,91.25000000000004
2019-02-19,16.16,1,16.0,17,24.0,24.0,-100.00000000000004,-77.70000000000003,,,,,,
