DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2010-11-30,23.79,21.0,24.0,35,962.0000000000001,962.0000000000001,-1038.0000000000005,-77.70000000000034
2011-02-23,23.22,19.96,24.0,35,970.5000000000002,970.5000000000002,-770.9999999999997,197.80000000000058
2011-07-27,23.2,20.0,24.0,35,1003.9999999999999,1003.9999999999999,-51.99999999999994,950.3
2011-07-28,23.99,19.0,24.0,35,989.9999999999999,989.9999999999999,-178.00000000000009,810.2999999999997
2012-12-28,23.23,18.0,23.0,35,1095.0,1095.0,-1189.0,-95.7
2014-10-17,23.08,4.0,24.0,35,1020.0000000000001,1020.0000000000001,-1100.0,-81.69999999999989
2015-01-14,23.34,6.0,24.0,35,1035.5,1035.5,-1100.0,-66.2
2016-11-04,23.01,18.04,23.0,35,1076.0000000000002,1076.0000000000002,-1196.0,-121.69999999999978
2020-08-10,23.52,9.0,24.0,35,978.9999999999999,978.9999999999999,-1029.0000000000005,-51.70000000000057
2020-08-24,23.18,23.0,24.0,35,864.0,864.0,-708.0000000000002,154.29999999999978
2020-11-20,23.73,11.0,23.0,35,1007.4999999999999,1007.4999999999999,-1151.0000000000002,-145.20000000000033
2020-11-23,23.96,1.0,23.0,35,1148.0,1148.0,-1200.0,-53.7
2020-11-23,23.96,8.0,23.0,35,1055.0,1055.0,-1151.0000000000002,-97.70000000000023
2020-11-23,23.96,23.0,23.0,35,994.0,994.0,-922.0000000000002,70.29999999999977
2020-12-30,23.15,7.0,23.0,35,1057.0,1057.0,-1109.9999999999998,-54.699999999999775
2021-01-07,23.91,6.0,23.0,35,1095.5,1095.5,-1150.0,-56.2
2021-01-22,23.73,5.0,23.0,35,1092.0,1092.0,-1049.0,41.3
2021-02-04,23.44,6.0,23.0,35,1092.5,1092.5,-1200.0,-109.2
2021-02-19,23.19,11.0,24.0,35,952.9999999999999,952.9999999999999,-950.9999999999999,0.30000000000000004
2021-03-10,23.87,20.96,24.0,35,902.5,902.5,-1021.0,-120.2
2021-03-25,23.55,6.0,23.0,35,1135.0,1135.0,-1182.9999999999998,-49.699999999999775
2021-05-11,23.73,1.0,23.0,35,1177.4999999999998,1177.4999999999998,-1200.0,-24.200000000000227
2021-12-08,23.11,21.0,24.0,35,987.5,987.5,-1100.0,-114.2
2022-01-18,23.2,29.0,23.0,35,1000.0,1000.0,-805.0,193.3
2022-04-07,23.82,6.0,24.0,35,1022.5000000000001,1022.5000000000001,-991.0000000000001,29.8
2022-04-21,23.28,13.0,23.0,35,1025.5,1025.5,-968.0,55.8
2022-04-21,23.28,20.0,23.0,35,1003.5,1003.5,-393.0,608.8
2022-04-21,23.28,27.0,23.0,35,975.0,975.0,-841.0,132.3
2022-07-22,23.81,26.0,23.0,35,937.5,937.5,-1171.0,-235.2
2022-09-09,23.57,5.0,23.0,35,1093.5,1093.5,-884.0,207.8
2022-11-11,23.91,5.0,23.0,35,1080.5,1080.5,-1087.0000000000002,-8.200000000000227
2022-11-11,23.91,26.0,24.0,35,902.0,902.0,-777.0,123.3
2022-12-07,23.01,7.0,23.0,35,1083.5,1083.5,-1200.0,-118.2
2022-12-07,23.01,14.0,23.0,35,1062.5,1062.5,-1200.0,-139.2
2022-12-08,23.28,6.0,23.0,35,1111.0,1111.0,-1200.0,-90.7
2022-12-09,23.21,5.0,23.0,35,1104.0,1104.0,-1200.0,-97.7
2022-12-14,23.47,7.0,23.0,35,1157.0,1157.0,-1200.0,-44.7
2022-12-15,23.67,6.0,23.0,35,1123.9999999999998,1123.9999999999998,-1200.0,-77.70000000000023
2022-12-20,23.39,1.0,23.0,35,1195.5,1195.5,-1200.0,-6.2
2023-01-03,23.76,15.0,23.0,35,1075.5,1075.5,-1130.0000000000002,-56.20000000000023
2023-01-04,23.27,14.0,23.0,35,1112.0,1112.0,-1130.0000000000002,-19.700000000000227
2023-02-22,23.63,27.96,23.0,35,1053.5,1053.5,-887.0,164.8
2023-03-09,23.14,12.96,23.0,35,1099.0,1099.0,-1200.0,-102.7
2023-10-23,23.08,23.04,24.0,35,1022.5000000000001,1022.5000000000001,-1094.0,-73.19999999999989
