VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
21-22,18.0,46,5157.800000000001,-353.8,14.578292820802716,91.30434782608695,1; 2; 4; 5; 6; 7; 8; 9; 12; 13; 14; 15; 19; 20; 21; 22; 25; 27; 28,-299.0 to -30.0
22-23,18.0,29,5276.7,-47.70000000000003,110.62264150943389,96.55172413793103,1; 2; 6; 8; 12; 14; 15; 16; 21; 22; 23; 26; 27; 28; 29; 30,-281.0 to -43.0
18-19,19.0,56,4808.799999999999,-316.30000000000024,15.203288017704697,83.92857142857143,7; 8; 9; 11; 12; 13; 15; 16; 18; 19; 20; 21; 23; 25; 26; 27; 28,-134.0 to 79.99999999999999
19-20,19.0,64,6095.200000000002,-152.1,40.07363576594347,79.6875,7; 12; 13; 14; 15; 16; 19; 20; 21; 22; 23; 27; 28,-116.0 to -2.0000000000000018
20-21,19.0,89,7362.700000000002,-305.7000000000001,24.08472358521426,87.64044943820225,1; 2; 5; 6; 7; 8; 9; 10; 12; 13; 14; 15; 16; 18; 20; 21; 22; 23; 26; 27; 28; 29,-202.0 to -16.0
21-22,19.0,57,6129.099999999999,-230.5000000000001,26.590455531453348,91.22807017543859,1; 2; 4; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 20; 21; 22; 25; 26; 27; 28; 29,-288.99999999999994 to -24.0
22-23,19.0,40,6296.0,-149.69999999999993,42.05744822979294,97.5,1; 2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 18; 21; 22; 23; 26; 27; 28; 29; 30,-271.0 to -34.0
23-24,19.0,44,4541.2,-451.29999999999944,10.062486151119002,79.54545454545455,1; 2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 23; 26; 28; 29,-430.00000000000006 to -33.0
19-20,20.0,45,4147.5,-308.69999999999993,13.435374149659866,75.55555555555556,7; 11; 14; 15; 18; 20; 21; 22; 23; 26; 27; 30,-47.00000000000002 to 75.0
20-21,20.0,66,7783.800000000002,-242.39999999999955,32.11138613861393,81.81818181818183,4; 8; 12; 13; 14; 15; 16; 18; 19; 21; 22; 23; 26; 27; 29,-69.0 to -3.0000000000000027
