File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_19-20_strike_14.0.csv,19-20,14.0,90,13514.999999999998,-780.3999999999995,17.318042029728353,86.66666666666667,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0,-445.0 to 359.5
vix_put_spread_results_threshold_20-21_strike_14.0.csv,20-21,14.0,61,10067.299999999996,-605.8999999999999,16.61544809374484,88.52459016393442,1.0; 2.0; 6.0; 8.0; 11.0; 12.0; 14.0; 15.0; 16.0; 17.0; 18.0; 19.0; 20.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-497.0 to -65.49999999999999
vix_put_spread_results_threshold_21-22_strike_14.0.csv,21-22,14.0,56,14779.300000000003,0.0,,100.0,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0,-504.4999999999999 to -42.00000000000001
vix_put_spread_results_threshold_26-27_strike_14.0.csv,26-27,14.0,27,5236.1,-94.2,55.58492569002124,96.29629629629629,1.0; 2.0; 4.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 16.0; 19.0; 23.0; 27.0; 28.0,-762.5 to -30.5
vix_put_spread_results_threshold_13-14_strike_15.0.csv,13-14,15.0,76,5269.800000000001,-958.4000000000008,5.498539232053419,71.05263157894737,9.0; 12.0; 13.0; 14.0; 16.0; 22.0; 23.0; 25.0; 27.0; 29.0; 30.0,33.999999999999986 to 168.5
vix_put_spread_results_threshold_14-15_strike_15.0.csv,14-15,15.0,138,15288.899999999998,-797.6000000000007,19.168630892678014,79.71014492753623,9.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,0.0 to 80.50000000000001
vix_put_spread_results_threshold_15-16_strike_15.0.csv,15-16,15.0,140,12362.0,-61.89999999999984,199.7092084006467,73.57142857142858,7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 27.0; 28.0; 29.0; 30.0,0.0 to 0.0
vix_put_spread_results_threshold_16-17_strike_15.0.csv,16-17,15.0,209,20065.199999999997,-339.80000000000007,59.050029429075906,93.30143540669856,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 10.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-160.0 to -4.000000000000001
vix_put_spread_results_threshold_17-18_strike_15.0.csv,17-18,15.0,172,18964.6,-414.50000000000034,45.75295536791311,94.18604651162791,1.0; 2.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-216.5 to -14.000000000000002
vix_put_spread_results_threshold_18-19_strike_15.0.csv,18-19,15.0,159,22143.699999999997,-742.3000000000001,29.831200323319408,91.19496855345912,1.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-261.5 to -13.0
vix_put_spread_results_threshold_19-20_strike_15.0.csv,19-20,15.0,138,20118.899999999998,-630.6999999999997,31.89931821785319,88.40579710144928,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-370.00000000000006 to -16.0
vix_put_spread_results_threshold_20-21_strike_15.0.csv,20-21,15.0,105,16961.000000000004,-510.30000000000064,33.2373113854595,91.42857142857143,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 10.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 17.0; 18.0; 19.0; 20.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0,-345.0 to -8.0
vix_put_spread_results_threshold_21-22_strike_15.0.csv,21-22,15.0,88,18618.4,-403.2,46.176587301587304,93.18181818181817,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-474.5 to -29.000000000000004
vix_put_spread_results_threshold_22-23_strike_15.0.csv,22-23,15.0,49,9995.2,-309.7,32.27381336777527,97.95918367346938,1.0; 2.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 26.0; 27.0; 28.0; 29.0; 30.0,-492.0 to -23.0
vix_put_spread_results_threshold_23-24_strike_15.0.csv,23-24,15.0,63,10617.399999999994,-357.5999999999999,29.690715883668894,87.3015873015873,1.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 18.0; 19.0; 21.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0,-539.0 to -31.5
vix_put_spread_results_threshold_24-25_strike_15.0.csv,24-25,15.0,45,11393.499999999996,-266.5999999999999,42.73630907726932,93.33333333333333,1; 2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 22; 25; 27; 29,-482.5 to -49.5
vix_put_spread_results_threshold_25-26_strike_15.0.csv,25-26,15.0,44,11959.699999999999,-124.6999999999998,95.90777866880528,97.72727272727273,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 27.0; 28.0; 29.0; 30.0,-733.0000000000001 to -52.0
vix_put_spread_results_threshold_26-27_strike_15.0.csv,26-27,15.0,40,8566.5,-150.90000000000006,56.7693836978131,95.0,1.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 16.0; 19.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0,-678.0 to -79.5
vix_put_spread_results_threshold_27-28_strike_15.0.csv,27-28,15.0,32,6387.599999999999,-299.1000000000003,21.356068204613816,90.625,1.0; 4.0; 5.0; 6.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 28.0; 29.0; 30.0,-719.9999999999999 to -42.5
