DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2011-01-28,20.08,18.0,21.0,40,1800.0,1800.0,-1759.0,39.3
2016-03-01,20.17,7.0,21.0,40,1857.4999999999995,1857.4999999999995,-1723.0,132.79999999999956
2016-03-01,20.17,20.96,21.0,40,1789.9999999999998,1789.9999999999998,-1896.0,-107.70000000000023
2016-03-01,20.17,27.96,21.0,40,1755.5,1755.5,-1786.0,-32.2
2016-06-15,20.45,20.0,21.0,40,1716.0,1716.0,-1812.0,-97.7
2018-11-19,20.99,2.0,21.0,40,1848.0000000000005,1848.0000000000005,-1900.0,-53.69999999999955
2018-11-26,20.8,22.0,20.0,40,1864.4999999999995,1864.4999999999995,-1230.0,632.7999999999995
2018-11-29,20.48,19.0,20.0,40,1884.5000000000002,1884.5000000000002,-1230.0,652.8000000000002
2019-05-10,20.19,12.0,20.0,40,1935.5000000000005,1935.5000000000005,-2000.0,-66.19999999999955
2021-05-21,20.89,5.0,20.0,40,1822.0,1822.0,-1952.0,-131.7
2021-05-21,20.89,12.0,20.0,40,1747.4999999999998,1747.4999999999998,-1894.0,-148.20000000000022
2021-05-24,20.51,2.0,20.0,40,1958.5,1958.5,-1952.0,4.8
2021-05-24,20.51,9.0,20.0,40,1839.5000000000002,1839.5000000000002,-1894.0,-56.199999999999775
2021-08-03,20.44,1.0,20.0,40,1999.4999999999998,1999.4999999999998,-2000.0000000000002,-2.200000000000455
2021-08-03,20.44,8.0,20.0,40,1909.5000000000002,1909.5000000000002,-2000.0000000000005,-92.20000000000023
2021-10-12,20.81,8.0,21.0,40,1820.0000000000002,1820.0000000000002,-1900.0,-81.69999999999978
2022-01-11,21.0,8.0,20.0,40,1914.9999999999998,1914.9999999999998,-1550.9999999999998,362.3
2022-01-13,20.61,6.0,20.0,40,1847.4999999999998,1847.4999999999998,-1719.9999999999998,125.8
2022-03-30,20.51,7.0,20.0,40,1850.5,1850.5,-1721.0000000000002,127.79999999999977
2022-04-01,20.86,19.0,20.0,40,1714.9999999999998,1714.9999999999998,-1870.0,-156.70000000000022
2022-04-04,20.78,16.0,20.0,40,1807.4999999999995,1807.4999999999995,-1880.0,-74.20000000000046
2023-01-17,20.22,1.0,20.0,40,1985.0000000000002,1985.0000000000002,-2000.0,-16.699999999999772
2023-01-17,20.22,29.0,20.0,40,1805.5,1805.5,-1895.0,-91.2
2023-01-18,20.58,28.0,20.0,40,1764.5,1764.5,-1895.0,-132.2
2023-01-20,20.7,26.0,20.0,40,1805.9999999999998,1805.9999999999998,-1895.0,-90.70000000000023
2023-01-23,20.33,23.0,20.0,40,1826.5,1826.5,-1895.0,-70.2
2023-01-24,20.47,22.0,20.0,40,1867.5,1867.5,-1895.0,-29.2
2023-01-25,20.9,21.0,20.0,40,1871.0,1871.0,-1895.0,-25.7
2023-01-30,20.25,16.0,20.0,40,1862.5,1862.5,-1895.0,-34.2
2023-05-24,20.81,7.0,20.0,40,1827.0000000000002,1827.0000000000002,-1986.0,-160.69999999999976
2023-10-13,20.78,5.0,20.0,40,1906.4999999999998,1906.4999999999998,-1909.0,-4.2000000000002276
2023-10-18,20.15,28.04,20.0,40,1829.5000000000002,1829.5000000000002,-1994.0,-166.19999999999976
