DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2010-04-12,16.0,8,15.0,25,771.0,771.0,-927.0,-157.7,,,,,,
2012-03-19,15.43,29,15.0,25,580.0,580.0,-656.0000000000002,-77.70000000000023,,,,,,
2012-03-20,15.95,28,16.0,25,614.0,614.0,-556.0000000000002,56.29999999999977,614.0,614.0,614.0,-556.0000000000002,-556.0000000000002,-556.0000000000002
2018-09-07,15.63,11,16.0,25,810.0000000000001,810.0000000000001,-837.0,-28.69999999999989,,,,,,
2023-07-27,15.02,20,15.0,25,867.0,867.0,-746.9999999999998,118.30000000000022,867.0,867.0,867.0,-746.9999999999998,-746.9999999999998,-746.9999999999998
