DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2015-03-24,13.68,21.0,13.0,25,911.0,911.0,-1087.0,-177.7
2016-10-24,13.26,1.0,13.0,25,1114.0,1114.0,-1200.0,-87.7
2018-08-30,13.95,19.0,13.0,25,1001.0,1001.0,-1137.0,-137.7
2019-10-25,13.79,26.04,13.0,25,944.0,944.0,-1131.0,-188.7
