DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2018-07-09,13.45,8.0,14.0,50,3485.0,3485.0,-3577.0,-93.7
2018-08-30,13.95,19.0,13.0,50,3493.5,3493.5,-3637.0,-145.2
2019-04-29,13.27,23.0,13.0,50,3513.0000000000005,3513.0000000000005,-3532.0,-20.699999999999545
2019-07-29,13.17,23.0,13.0,50,3504.0000000000005,3504.0000000000005,-3436.0,66.30000000000045
2019-10-25,13.79,5.0,13.0,50,3603.5000000000005,3603.5000000000005,-3700.0000000000005,-98.2
2019-10-25,13.79,19.04,13.0,50,3467.4999999999995,3467.4999999999995,-3611.9999999999995,-146.2
2019-10-25,13.79,26.04,13.0,50,3437.5,3437.5,-3631.0,-195.2
2019-10-28,13.14,2.0,13.0,50,3628.000000000001,3628.000000000001,-3700.0000000000005,-73.69999999999955
2019-10-28,13.14,16.04,13.0,50,3468.0,3468.0,-3611.9999999999995,-145.69999999999953
2019-10-29,13.52,1.0,13.0,50,3622.0,3622.0,-3700.0000000000005,-79.70000000000046
2019-10-29,13.52,15.04,13.0,50,3454.5,3454.5,-3611.9999999999995,-159.19999999999953
2019-10-29,13.52,22.04,13.5,50,3413.5,3413.5,-3581.0,-169.2
2019-10-30,13.77,14.04,13.0,50,3496.4999999999995,3496.4999999999995,-3611.9999999999995,-117.2
2019-10-30,13.77,28.04,13.0,50,3423.5000000000005,3423.5000000000005,-3698.0,-276.19999999999953
2019-10-31,13.95,13.04,13.5,50,3474.4999999999995,3474.4999999999995,-3561.9999999999995,-89.2
2019-10-31,13.95,20.04,13.0,50,3437.0000000000005,3437.0000000000005,-3631.0,-195.69999999999953
2019-10-31,13.95,27.04,13.5,50,3413.9999999999995,3413.9999999999995,-3648.0,-235.70000000000044
2019-11-01,13.12,12.04,13.0,50,3546.5000000000005,3546.5000000000005,-3611.9999999999995,-67.1999999999991
2019-11-01,13.12,26.04,13.0,50,3483.4999999999995,3483.4999999999995,-3698.0,-216.20000000000044
2019-11-04,13.13,9.0,13.0,50,3561.5,3561.5,-3611.9999999999995,-52.19999999999955
2019-11-04,13.13,23.0,13.5,50,3454.4999999999995,3454.4999999999995,-3648.0,-195.20000000000044
2019-11-05,13.28,8.0,13.0,50,3528.5000000000005,3528.5000000000005,-3611.9999999999995,-85.1999999999991
2019-11-05,13.28,22.0,14.0,50,3410.4999999999995,3410.4999999999995,-3598.0,-189.20000000000044
2019-11-06,13.39,7.0,13.0,50,3557.0,3557.0,-3611.9999999999995,-56.69999999999955
2019-11-06,13.39,21.0,13.0,50,3445.5,3445.5,-3698.0,-254.2
2019-11-08,13.05,19.0,13.5,50,3479.5,3479.5,-3648.0,-170.2
2019-11-11,13.49,2.0,13.0,50,3641.0000000000005,3641.0000000000005,-3647.9999999999995,-8.69999999999909
2019-11-11,13.49,16.0,13.0,50,3498.499999999999,3498.499999999999,-3698.0,-201.2000000000009
2019-11-12,13.1,15.0,13.0,50,3539.0,3539.0,-3698.0,-160.7
2019-11-14,13.81,13.0,13.0,50,3546.000000000001,3546.000000000001,-3698.0,-153.69999999999908
2019-11-18,13.1,9.0,13.0,50,3606.5,3606.5,-3698.0,-93.2
2019-11-19,13.01,8.0,13.0,50,3608.0,3608.0,-3698.0,-91.7
2019-11-19,13.01,29.0,13.5,50,3422.5,3422.5,-3599.0,-178.2
2019-11-21,13.86,6.0,13.0,50,3605.0000000000005,3605.0000000000005,-3698.0,-94.69999999999955
2019-11-21,13.86,27.0,13.5,50,3411.0000000000005,3411.0000000000005,-3599.0,-189.69999999999953
2019-11-22,13.25,5.0,13.0,50,3638.9999999999995,3638.9999999999995,-3698.0,-60.70000000000046
2019-11-22,13.25,26.0,13.5,50,3445.0000000000005,3445.0000000000005,-3599.0,-155.69999999999953
2020-01-02,13.72,13.0,13.5,50,3535.0,3535.0,-3649.9999999999995,-116.69999999999955
2020-01-09,13.24,6.0,13.0,50,3633.5,3633.5,-3699.9999999999995,-68.19999999999955
2020-01-09,13.24,20.0,13.0,50,3529.4999999999995,3529.4999999999995,-3381.0,146.79999999999956
2020-01-13,13.09,2.0,13.0,50,3674.0,3674.0,-3699.9999999999995,-27.699999999999545
2020-01-13,13.09,16.0,14.0,50,3494.500000000001,3494.500000000001,-3281.0,211.80000000000092
2020-01-14,13.82,1.0,13.0,50,3662.5,3662.5,-3699.9999999999995,-39.19999999999955
2020-01-14,13.82,15.0,13.0,50,3557.5000000000005,3557.5000000000005,-3381.0,174.80000000000047
2020-01-21,13.33,8.0,13.0,50,3572.5,3572.5,-3437.0,133.8
2020-01-22,13.01,7.0,13.0,50,3591.5000000000005,3591.5000000000005,-3468.0,121.80000000000045
2023-11-22,13.25,28.0,13.0,50,3501.0000000000005,3501.0000000000005,-3652.0,-152.69999999999953
2023-11-24,13.17,26.0,13.0,50,3555.0000000000005,3555.0000000000005,-3652.0,-98.69999999999955
2023-11-27,13.28,23.0,13.0,50,3549.5000000000005,3549.5000000000005,-3652.0,-104.19999999999955
2023-11-29,13.1,21.0,13.0,50,3549.0,3549.0,-3652.0,-104.7
2023-11-30,13.39,20.0,13.0,50,3569.5,3569.5,-3652.0,-84.2
2023-12-04,13.7,16.0,13.0,50,3575.000000000001,3575.000000000001,-3652.0,-78.6999999999991
2023-12-05,13.76,15.0,13.0,50,3586.0,3586.0,-3652.0,-67.7
2023-12-06,13.03,14.0,13.5,50,3549.5000000000005,3549.5000000000005,-3602.0,-54.19999999999955
2023-12-07,13.28,13.0,13.0,50,3587.499999999999,3587.499999999999,-3652.0,-66.20000000000091
2023-12-08,13.24,12.0,13.0,50,3623.0000000000005,3623.0000000000005,-3652.0,-30.699999999999545
2023-12-11,13.14,9.0,13.0,50,3645.9999999999995,3645.9999999999995,-3652.0,-7.700000000000455
