DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2015-12-18,23.3,4.0,23.0,19,-275.0,125.0,400.0,123.3
2016-01-04,23.36,1.0,24.0,19,-400.0,100.0,475.0,73.3
2016-01-04,23.36,8.0,23.0,19,-290.0,110.0,375.0,83.3
2016-01-12,23.93,14.0,24.0,19,-320.0,180.0,255.9999999999999,-65.70000000000012
2016-01-28,23.81,5.0,23.0,19,-180.5,219.5,350.0,167.8
2016-02-01,23.66,1.0,23.0,19,-267.0,133.0,194.0000000000001,-74.69999999999989
2016-02-04,23.14,18.0,24.0,19,-237.5,262.5,498.00000000000006,258.80000000000007
2016-02-19,23.44,11.0,23.0,19,-204.5,195.5,400.0,193.8
2016-02-19,23.44,18.0,24.0,19,-282.5,217.5,676.9999999999999,392.7999999999999
2016-11-04,23.01,5.04,23.0,19,-242.49999999999997,157.50000000000003,400.0,155.80000000000004
2016-11-04,23.01,25.04,23.0,19,-295.5,104.5,445.9999999999999,148.7999999999999
2018-03-22,23.81,6.0,23.0,19,-180.50000000000003,219.49999999999997,316.0,133.79999999999998
2018-03-22,23.81,13.0,23.0,19,-211.49999999999994,188.50000000000006,339.9999999999999,126.79999999999994
2018-03-22,23.81,20.0,23.0,19,-303.0,97.0,443.0,138.3
2018-03-29,23.05,6.0,23.0,19,-289.5,110.5,314.00000000000006,22.800000000000058
2018-04-03,23.38,1.0,23.0,19,-164.0,236.0,314.00000000000006,148.30000000000007
2018-04-03,23.38,8.0,23.0,19,-277.50000000000006,122.49999999999994,443.0,163.79999999999995
2018-04-06,23.12,5.0,23.0,19,-220.5,179.5,335.99999999999994,113.79999999999994
2018-11-20,23.81,8.0,23.0,19,-222.49999999999997,177.50000000000003,400.0,175.80000000000004
2018-12-11,23.6,1.0,23.0,19,-122.0,278.0,250.0,126.3
2019-05-09,23.38,6.0,23.0,19,-307.5,92.5,484.0,174.8
2019-08-07,23.67,7.0,23.0,19,-282.5,117.5,493.0,208.8
2019-08-07,23.67,14.0,23.0,19,-290.00000000000006,109.99999999999994,400.0,108.29999999999994
2020-08-10,23.52,9.0,24.0,19,-174.0,326.0,371.9999999999999,196.2999999999999
2020-08-24,23.18,2.0,23.0,19,-70.5,329.5,207.99999999999983,135.79999999999984
2020-08-24,23.18,23.0,24.0,19,-158.0,342.0,307.99999999999983,148.29999999999984
2020-08-26,23.27,7.0,23.0,19,-63.5,336.5,155.9999999999999,90.79999999999988
2020-11-18,23.92,21.0,23.0,19,-132.50000000000003,267.5,348.99999999999983,214.7999999999998
2020-11-20,23.73,4.0,23.0,19,-34.5,365.5,219.99999999999994,183.79999999999995
2020-11-20,23.73,11.0,23.0,19,-106.0,294.0,348.99999999999983,241.29999999999984
2020-11-20,23.73,19.0,23.0,19,-117.5,282.5,348.99999999999983,229.79999999999984
2020-11-23,23.96,1.0,23.0,19,-46.5,353.5,219.99999999999994,171.79999999999995
2020-11-23,23.96,8.0,23.0,19,-106.99999999999999,293.0,348.99999999999983,240.29999999999984
2020-11-23,23.96,16.0,23.0,19,-98.5,301.5,348.99999999999983,248.79999999999984
2020-11-23,23.96,23.0,23.0,19,-162.5,237.5,348.99999999999983,184.79999999999984
2020-12-10,23.46,6.0,24.0,19,-245.00000000000003,254.99999999999997,205.00000000000006,-41.699999999999974
2020-12-10,23.46,13.0,24.0,19,-239.5,260.5,248.00000000000006,6.800000000000057
2020-12-16,23.67,7.0,23.0,19,-127.0,273.0,148.00000000000006,19.300000000000058
2020-12-18,23.77,5.0,23.0,19,-114.5,285.5,87.0000000000001,-29.1999999999999
2020-12-18,23.77,12.0,23.0,19,-99.5,300.5,201.00000000000017,99.80000000000017
2020-12-23,23.68,7.0,23.0,19,-46.99999999999999,353.0,201.00000000000017,152.30000000000018
2020-12-29,23.72,1.0,23.0,19,-15.000000000000002,385.0,58.999999999999986,42.29999999999998
2020-12-29,23.72,8.0,23.0,19,-67.0,333.0,176.00000000000017,107.30000000000017
2020-12-30,23.15,14.0,23.0,19,-150.0,250.0,176.00000000000017,24.30000000000017
2021-01-07,23.91,6.0,23.0,19,-85.0,315.0,157.99999999999983,71.29999999999983
2021-01-14,23.47,6.0,24.0,19,-197.0,303.0,262.9999999999999,64.29999999999988
2021-01-14,23.47,20.0,23.0,19,-162.5,237.5,191.0,26.8
2021-01-19,23.56,8.0,24.0,19,-141.5,358.5,291.0,147.8
2021-01-19,23.56,15.0,23.0,19,-125.50000000000001,274.5,191.0,63.79999999999998
2021-01-19,23.56,22.0,23.0,19,-147.5,252.5,330.9999999999999,181.7999999999999
2021-01-22,23.73,5.0,23.0,19,-71.5,328.5,80.00000000000007,6.800000000000071
2021-01-22,23.73,12.0,23.0,19,-103.0,297.0,80.00000000000007,-24.69999999999993
2021-01-22,23.73,26.0,24.0,19,-212.5,287.5,430.9999999999999,216.7999999999999
2021-01-26,23.94,15.0,23.0,19,-95.5,304.5,330.9999999999999,233.7999999999999
2021-02-04,23.44,20.0,23.0,19,-87.50000000000001,312.5,330.9999999999999,241.7999999999999
2021-02-10,23.85,14.0,23.0,19,-81.5,318.5,305.00000000000006,221.80000000000007
