DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2021-12-20,27.39,2,28.0,55,2640.0,2640.0,-2699.9999999999995,-61.69999999999955
2022-05-17,27.17,1,27.0,55,2750.0,2750.0,-2800.0,-51.7
