DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2018-10-29,27.86,1,27.0,18,-385.0,515.0,389.00000000000006,2.3000000000000567,-385.0,-385.0,-385.0,389.00000000000006,389.00000000000006,389.00000000000006
2022-02-16,27.09,27,28.0,18,-580.0000000000001,419.9999999999999,323.99999999999983,-257.7000000000003,,,,,,
2022-05-17,27.17,29,27.0,18,-257.0,643.0,326.00000000000017,67.30000000000017,-257.0,-257.0,-257.0,326.00000000000017,326.00000000000017,326.00000000000017
2022-10-27,27.67,20,27.0,18,-195.0,705.0,462.9999999999999,266.2999999999999,-195.0,-195.0,-195.0,462.9999999999999,462.9999999999999,462.9999999999999
2022-10-28,27.59,19,27.0,18,-235.0,665.0,462.9999999999999,226.2999999999999,-235.0,-235.0,-235.0,462.9999999999999,462.9999999999999,462.9999999999999
2022-10-31,27.07,16,27.0,18,-250.0,650.0,462.9999999999999,211.2999999999999,-250.0,-250.0,-250.0,462.9999999999999,462.9999999999999,462.9999999999999
2023-03-16,27.49,6,27.0,18,-463.00000000000006,437.0,705.9999999999999,241.29999999999984,-463.00000000000006,-463.00000000000006,-463.00000000000006,705.9999999999999,705.9999999999999,705.9999999999999
