DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2021-09-20,28.79,2,28.0,18,-447.00000000000006,553.0,725.0,276.29999999999995,-447.00000000000006,-447.00000000000006,-447.00000000000006,725.0,725.0,725.0
2021-09-20,28.79,9,29.0,18,-703.0,397.0,1137.0,432.3,-703.0,-703.0,-703.0,1137.0,1137.0,1137.0
2022-02-15,28.09,28,28.0,18,-540.0,460.0,412.0000000000001,-129.69999999999987,,,,,,
2022-02-17,28.37,26,28.0,18,-435.00000000000006,565.0,162.0000000000001,-274.69999999999993,,,,,,
2022-04-22,28.27,26,28.0,18,-374.0,626.0,305.9999999999999,-69.70000000000012,,,,,,
