File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),,,,,,DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_24-25_strike_21.0.csv,24-25,21,45,6988.5,-130.4,53.59279141,95.55555556,,,,,,1; 2; 5; 7; 8; 9; 13; 14; 21; 23; 26; 27; 28; 29; 30,-350.00000000000006 to -29.0
vix_put_spread_results_threshold_24-25_strike_22.0.csv,24-25,22,48,4877.4,-103.4,47.17021277,95.83333333,,,,,,1; 2; 5; 7; 8; 9; 12; 14; 15; 21; 23; 26; 27; 28; 29; 30,-290.0 to -29.0
vix_put_spread_results_threshold_24-25_strike_24.0.csv,24-25,24,31,4440.3,-32.1,138.3271028,90.32258065,,,,,,9; 13; 15; 19; 21; 23; 26; 27; 28; 29; 30,-49.0 to -5.000000000000004
vix_put_spread_results_threshold_25-26_strike_21.0.csv,25-26,21,27,4861.1,-32.7,148.6574924,96.2962963,,,,,,1; 2; 4; 7; 8; 9; 12; 13; 15; 21; 26; 27; 29; 30,-386.00000000000006 to -95.0
vix_put_spread_results_threshold_25-26_strike_22.0.csv,25-26,22,31,4776.3,-22.4,213.2276786,93.5483871,,,,,,1; 2; 6; 7; 8; 9; 12; 13; 15; 20; 22; 26; 27; 29; 30,-343.0 to -48.0
vix_put_spread_results_threshold_25-26_strike_24.0.csv,25-26,24,37,3752.1,-50.1,74.89221557,91.89189189,,,,,,1; 2; 8; 9; 12; 13; 14; 15; 18; 22; 23; 26; 27; 29; 30,-193.00000000000003 to -28.0
vix_put_spread_results_threshold_26-27_strike_22.0.csv,26-27,22,27,3953.1,-7.7,513.3896104,96.2962963,,,,,,1; 2; 5; 7; 8; 9; 12; 13; 14; 15; 16; 19; 21; 28,-341.0 to -92.0
vix_put_spread_results_threshold_26-27_strike_23.0.csv,26-27,23,33,4904.9,-7.7,637,96.96969697,,,,,,1; 2; 5; 7; 8; 9; 12; 13; 14; 15; 16; 19; 23; 27; 28,-376.0 to -64.0
vix_put_spread_results_threshold_26-27_strike_24.0.csv,26-27,24,38,5686.4,-128.4,44.28660436,94.73684211,,,,,,2; 5; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 23; 27; 28,-300.0 to -62.0
vix_put_spread_results_threshold_26-27_strike_25.0.csv,26-27,25,38,4783.4,-68.1,70.24082232,92.10526316,,,,,,2; 5; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 21; 23; 27; 28,-197.0 to -35.0
vix_put_spread_results_threshold_27-28_strike_25.0.csv,27-28,25,40,5099,-91.4,55.78774617,95,,,,,,1; 2; 5; 6; 7; 8; 11; 13; 14; 15; 16; 19; 20; 22; 27; 29; 30,-325.0 to -32.99999999999999
vix_put_spread_results_threshold_27-28_strike_26.0.csv,27-28,26,41,5223.3,-130.8,39.93348624,90.24390244,,,,,,1; 2; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 20; 22; 27; 29; 30,-214.0 to -22.000000000000004
vix_put_spread_results_threshold_27-28_strike_27.0.csv,27-28,27,34,5509.2,-65.8,83.72644377,88.23529412,,,,,,6; 7; 8; 9; 11; 13; 14; 15; 16; 19; 20; 22; 29; 30,-40.99999999999999 to -3.999999999999981
vix_put_spread_results_threshold_28-29_strike_26.0.csv,28-29,26,28,3469.4,-59.7,58.11390285,96.42857143,,,,,,1; 6; 7; 8; 9; 14; 20; 21; 22; 23; 25; 26; 28; 29,-268.99999999999994 to -32.0
