DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2011-04-29,14.99,18.0,14.0,14,0.0,0.0,0.0,-1.7
2014-12-24,14.54,27.0,14.0,14,0.0,0.0,0.0,-1.7
2016-03-18,14.36,4.0,14.0,14,0.0,0.0,0.0,-1.7
2016-03-21,14.73,1.0,14.0,14,0.0,0.0,0.0,-1.7
2016-03-21,14.73,8.0,14.0,14,0.0,0.0,3.9999999999999147,2.2999999999999146
2016-03-31,14.28,5.0,14.0,14,0.0,0.0,100.0,98.3
2016-04-25,14.76,1.0,14.0,14,0.0,0.0,0.0,-1.7
2016-04-25,14.76,8.0,14.0,14,0.0,0.0,69.99999999999993,68.29999999999993
2016-04-25,14.76,15.0,14.0,14,0.0,0.0,25.0,23.3
2016-04-26,14.43,7.0,14.0,14,0.0,0.0,69.99999999999993,68.29999999999993
2016-05-10,14.35,21.0,14.0,14,0.0,0.0,41.000000000000014,39.30000000000001
2016-05-11,14.69,13.0,14.0,14,0.0,0.0,5.000000000000071,3.300000000000071
2016-05-11,14.69,27.0,14.0,14,0.0,0.0,0.0,-1.7
2016-05-25,14.33,13.0,14.0,14,0.0,0.0,0.0,-1.7
2016-05-26,14.11,5.0,14.0,14,0.0,0.0,41.000000000000014,39.30000000000001
2016-05-26,14.11,26.0,14.0,14,0.0,0.0,127.99999999999994,126.29999999999994
2016-05-31,15.0,21.0,14.0,14,0.0,0.0,127.99999999999994,126.29999999999994
2016-06-02,14.92,5.0,14.0,14,0.0,0.0,0.0,-1.7
2016-06-02,14.92,19.0,14.0,14,0.0,0.0,127.99999999999994,126.29999999999994
2016-06-03,14.66,4.0,14.0,14,0.0,0.0,0.0,-1.7
2016-06-06,14.27,1.0,14.0,14,0.0,0.0,0.0,-1.7
2016-06-06,14.27,15.0,14.0,14,0.0,0.0,127.99999999999994,126.29999999999994
2016-06-08,14.27,13.0,14.0,14,0.0,0.0,0.9999999999999787,-0.7000000000000213
2016-06-08,14.27,27.0,14.0,14,0.0,0.0,0.9999999999999787,-0.7000000000000213
2016-06-09,14.85,12.0,14.0,14,0.0,0.0,0.0,-1.7
